case_id,image_width,image_height,mpp_x,mpp_y,patch_min_x_pixel,patch_min_y_pixel,patch_size,patch_polygon_area,percent_nuclear_material,tumorFlag,grayscale_patch_mean,grayscale_patch_std,hematoxylin_patch_mean,hematoxylin_patch_std,grayscale_segment_mean,grayscale_segment_std,hematoxylin_segment_mean,hematoxylin_segment_std,flatness_segment_mean,flatness_segment_std,perimeter_segment_mean,perimeter_segment_std,circularity_segment_mean,circularity_segment_std,r_GradientMean_segment_mean,r_GradientMean_segment_std,b_GradientMean_segment_mean,b_GradientMean_segment_std,r_cytoIntensityMean_segment_mean,r_cytoIntensityMean_segment_std,b_cytoIntensityMean_segment_mean,b_cytoIntensityMean_segment_std,elongation_segment_mean,elongation_segment_std,datetime,patch_index,tile_minx,tile_miny,user
PC_058_0_1,162239,86955,0.2464,0.2464,29184,65536,512,0,0,tumor,181.4556999,29.61304445,17.94852829,6.582023279,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2018-09-17T17:00:15.137Z,4,28672,63488,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29184,66048,512,4480.75,1.709270477,tumor,184.364193,24.88864491,20.55392456,5.093284809,n/a,n/a,n/a,n/a,1.567608333,0.490266779,61.83559444,23.48939847,0.829033444,0.083151267,12.87514611,3.073208193,9.348810556,2.01154873,201.9602778,12.67654443,170.1976111,11.60149664,1.567608333,0.490266779,2018-09-17T16:16:09.498Z,1,28672,65536,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29184,66560,512,11445.75,4.366207123,tumor,191.9015579,31.74237627,17.93961334,6.530879713,n/a,n/a,n/a,n/a,1.8500625,0.973445187,68.01748,28.64204679,0.780708875,0.146188442,15.8886145,4.507663181,10.82099475,2.80225908,210.621525,13.01422964,181.963625,13.9967928,1.8500625,0.973445187,2018-09-17T16:16:11.760Z,2,28672,65536,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29184,67072,512,5870.75,2.239513397,tumor,199.6600723,29.77361194,19.88234711,5.584141617,n/a,n/a,n/a,n/a,1.9511108,1.008088982,60.25448,25.52698199,0.77472952,0.147618271,13.9070548,3.943070859,9.584156,2.276913439,210.24496,12.67828318,182.35312,12.20906376,1.9511108,1.008088982,2018-09-17T16:16:13.957Z,3,28672,65536,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29184,67584,512,0,0,tumor,208.9276237,27.17139737,12.73468018,5.006378102,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2018-09-17T16:16:16.039Z,4,28672,65536,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29184,68096,512,4081.5,1.556968689,tumor,213.9497108,29.88379186,18.41557312,5.171314945,n/a,n/a,n/a,n/a,2.319210588,1.711205979,66.42940588,31.45635347,0.737483118,0.204802633,13.98121529,4.663016031,10.33767,3.371845482,209.2668824,15.43666909,188.4687647,18.31370167,2.319210588,1.711205979,2018-09-17T16:45:12.066Z,1,28672,67584,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29184,68608,512,1068,0.407409668,tumor,213.9402924,29.7099614,14.14499283,4.7218767,n/a,n/a,n/a,n/a,1.462971667,0.293853176,46.92725667,23.64027962,0.866319,0.071077702,12.79562333,3.104379933,11.45324833,2.801731226,200.375,14.71032954,180.288,13.49320794,1.462971667,0.293853176,2018-09-17T16:45:12.728Z,2,28672,67584,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29184,69120,512,0,0,tumor,230.6925354,21.31432099,11.75329208,3.098934051,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2018-09-17T16:45:13.362Z,3,28672,67584,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29184,69632,512,0,0,tumor,240.5161171,1.663716203,4.367492676,0.650784139,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2018-09-17T16:45:13.989Z,4,28672,67584,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29696,59904,512,10326,3.939056396,tumor,174.5467453,34.65006058,18.45420837,7.881345177,n/a,n/a,n/a,n/a,1.600130213,0.550785648,56.72493128,23.18396701,0.819581809,0.114304739,16.25108128,3.722980133,11.20433149,2.442463289,199.7890213,14.58251505,163.145383,13.90260356,1.600130213,0.550785648,2018-09-17T16:57:27.517Z,5,28672,59392,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29696,60416,512,15650.5,5.970191956,tumor,173.6778793,38.1474946,24.14979553,8.572185263,n/a,n/a,n/a,n/a,1.744922188,0.752039976,63.90305984,26.74211706,0.793541672,0.129665994,16.26276156,2.98692315,11.22054734,2.483531872,202.7887656,13.99010911,164.5058594,13.49341812,1.744922188,0.752039976,2018-09-17T16:57:31.145Z,6,28672,59392,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29696,60928,512,20343.75,7.76052475,tumor,164.3707504,38.21245077,22.55951309,9.746579776,n/a,n/a,n/a,n/a,1.513330575,0.562717229,57.71135241,29.05108525,0.816240644,0.122494894,15.4411223,3.62446682,10.02897621,2.674077257,194.4623333,15.1261066,155.0295747,16.69727361,1.513330575,0.562717229,2018-09-17T16:57:34.916Z,7,28672,59392,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29696,61440,512,0,0,tumor,164.8985558,36.83433827,21.24625015,9.426030307,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2018-09-17T16:57:38.239Z,8,28672,59392,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29696,61952,512,16900.75,6.447124481,tumor,164.8831215,34.81125977,18.76082611,9.258616023,n/a,n/a,n/a,n/a,1.790592698,1.087218264,68.78335714,29.83749015,0.787772937,0.145351704,15.88815857,3.958354796,10.98514063,2.809827732,201.9072857,12.83821813,162.5155714,13.07236039,1.790592698,1.087218264,2018-09-17T16:23:15.197Z,5,28672,61440,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29696,62464,512,10642.5,4.059791565,tumor,167.3145142,31.3049844,19.67498779,8.089931683,n/a,n/a,n/a,n/a,1.520319787,0.540323778,61.45664468,24.14360747,0.840339468,0.097907213,15.68950681,4.40744408,10.22568723,2.715838819,199.7461489,17.25982231,159.2160213,15.20099373,1.520319787,0.540323778,2018-09-17T16:23:19.640Z,6,28672,61440,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29696,62976,512,9936.25,3.790378571,tumor,168.9945793,29.43679914,20.99648285,7.146245704,n/a,n/a,n/a,n/a,1.6434345,0.585212228,60.857685,28.20106109,0.810230425,0.119037302,13.05847425,3.245892647,8.65500725,1.72614945,188.32665,16.07581553,151.88465,14.1709267,1.6434345,0.585212228,2018-09-17T16:23:24.046Z,7,28672,61440,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29696,63488,512,0,0,tumor,174.7975883,26.97761207,19.53451538,6.172995382,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2018-09-17T16:23:28.257Z,8,28672,61440,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29696,64000,512,5601.75,2.136898041,tumor,174.4950218,25.30310785,18.09764481,5.950404096,n/a,n/a,n/a,n/a,1.6595568,0.526030853,61.161212,27.2290028,0.81244768,0.101584152,14.4695768,4.379456582,8.9733236,2.000282874,196.57264,14.83385459,155.28032,10.14663044,1.6595568,0.526030853,2018-09-17T17:00:18.276Z,5,28672,63488,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29696,64512,512,5784.25,2.206516266,tumor,177.8009071,24.66992954,15.61299896,5.892820155,n/a,n/a,n/a,n/a,1.6845076,1.031499064,58.581128,26.52554379,0.81576532,0.142184272,13.5194504,3.195476874,9.0902344,1.534741809,200.13036,14.24379269,164.25612,11.3008306,1.6845076,1.031499064,2018-09-17T17:00:21.416Z,6,28672,63488,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29696,65024,512,10146.875,3.870725632,tumor,178.9386559,28.24018517,17.32893753,6.940494763,n/a,n/a,n/a,n/a,1.878493889,1.239110565,70.44919444,29.08120121,0.771311306,0.158991076,14.181325,3.950866052,9.373984722,2.377622969,203.4314444,13.47291229,168.7925833,11.8848403,1.878493889,1.239110565,2018-09-17T17:00:24.603Z,7,28672,63488,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29696,65536,512,0,0,tumor,179.4787636,28.56526393,15.41801071,6.096190856,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2018-09-17T17:00:27.622Z,8,28672,63488,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29696,66048,512,8110.25,3.09381485,tumor,181.4399872,27.49484481,20.64116287,5.908239046,n/a,n/a,n/a,n/a,1.643428485,0.893914743,60.69958273,31.08537156,0.827425121,0.183903958,13.03764424,3.16194569,8.838819091,1.879054835,199.2117576,13.7173345,166.3156061,13.74150344,1.643428485,0.893914743,2018-09-17T16:16:18.264Z,5,28672,65536,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29696,66560,512,11362,4.334259033,tumor,183.7399254,30.73928149,17.97726059,7.151080521,n/a,n/a,n/a,n/a,1.7716192,0.824055617,59.321234,26.59500829,0.79427648,0.141499495,14.9320718,4.375911257,10.0810646,2.710099521,205.91292,14.2857564,173.95068,14.4337029,1.7716192,0.824055617,2018-09-17T16:16:20.481Z,6,28672,65536,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29696,67072,512,9037.75,3.447628021,tumor,191.6193161,30.50405257,16.42372894,6.545522775,n/a,n/a,n/a,n/a,2.071279189,1.199161538,64.61968649,42.5235402,0.747001703,0.188970916,14.96220676,4.537369119,10.08548649,2.550710485,206.0584595,16.19000347,176.8066486,16.12556348,2.071279189,1.199161538,2018-09-17T16:16:22.635Z,7,28672,65536,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29696,67584,512,0,0,tumor,196.4785271,30.2653779,19.45012283,5.913658656,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2018-09-17T16:16:24.614Z,8,28672,65536,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29696,68096,512,5043,1.923751831,tumor,202.0396385,29.65743666,16.37690735,5.850565658,n/a,n/a,n/a,n/a,1.606164643,0.696979257,50.967475,22.2448209,0.829182857,0.117655618,14.35386893,3.927293694,10.39708786,3.348014237,210.1074643,17.26003549,187.1266786,16.58702744,1.606164643,0.696979257,2018-09-17T16:45:14.746Z,5,28672,67584,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29696,68608,512,2090.25,0.797367096,tumor,208.7026558,26.90551912,12.2783165,4.909473816,n/a,n/a,n/a,n/a,1.898393333,1.301733555,53.49627833,42.84226398,0.804974667,0.18904887,11.59972583,3.66787757,8.889704167,2.684802015,194.45925,19.6415129,172.931,17.02813843,1.898393333,1.301733555,2018-09-17T16:45:15.437Z,6,28672,67584,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29696,69120,512,1426.75,0.544261932,tumor,212.895153,29.85663371,13.14032364,5.137045942,n/a,n/a,n/a,n/a,1.965464444,1.421633636,57.49857444,45.84582401,0.797718889,0.186010101,11.03379333,4.087840037,9.833237778,2.832522482,193.2452222,21.33881431,171.7722222,23.16424094,1.965464444,1.421633636,2018-09-17T16:45:16.113Z,7,28672,67584,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29696,69632,512,0,0,tumor,239.701973,5.497979344,9.834636688,0.8256307,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2018-09-17T16:45:16.746Z,8,28672,67584,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,30208,59904,512,7697.125,2.936220169,tumor,173.59758,33.02707971,21.80364609,7.200286392,n/a,n/a,n/a,n/a,1.57684425,0.762492948,56.9187675,18.71051411,0.822302275,0.127670244,15.9182005,3.098906547,11.22857425,2.834837298,203.427575,14.60918207,162.94675,13.81297644,1.57684425,0.762492948,2018-09-17T16:57:41.773Z,9,28672,59392,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,30208,60416,512,8552.25,3.262424469,tumor,171.7978134,32.76495135,21.53633881,7.458592829,n/a,n/a,n/a,n/a,1.499200976,0.559796733,57.60599512,21.55623177,0.826184927,0.112339314,16.27867317,4.115924072,11.51844317,3.629173808,200.4908537,16.50467,163.1464146,17.05062468,1.499200976,0.559796733,2018-09-17T16:57:45.291Z,10,28672,59392,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,30208,60928,512,13090,4.993438721,tumor,169.3728561,33.83722499,21.26229858,8.144021255,n/a,n/a,n/a,n/a,1.52602807,0.582050324,57.48309825,24.42794584,0.82626886,0.113965236,14.60522737,3.583177815,9.899416316,2.40791885,196.2605088,14.42169595,157.2201053,13.23933244,1.52602807,0.582050324,2018-09-17T16:57:48.880Z,11,28672,59392,dr.rajarsi.gupta
